debug: disable
[GPIOTST] debug off
GPIO[0]: Mode: 0, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[1]: Mode: 0, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[2]: Mode: 0, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[3]: Mode: 0, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[4]: Mode: 0, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[5]: Mode: 0, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[6]: Mode: 0, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[7]: Mode: 0, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[8]: Mode: 0, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[9]: Mode: 0, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[10]: Mode: 0, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[11]: Mode: 0, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[12]: Mode: 0, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[13]: Mode: 0, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[14]: Mode: 1, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[15]: Mode: 0, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[16]: Mode: 1, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[17]: Mode: 0, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[18]: Mode: 1, Direction: 0, DirIN: 1, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[19]: Mode: 1, Direction: 0, DirIN: 1, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[20]: Mode: 1, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[21]: Mode: 1, Direction: 0, DirIN: 1, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[22]: Mode: 1, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[23]: Mode: 1, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
GPIO[24]: Mode: 1, Direction: 0, DirIN: 0, DirOUT: 0, Pull Enable: 1, PU/PD: 0, Inversion: 0
